Using GPU : 0 from 3 devices
Train 0, loss: 3.153456, train acc: 0.076623, train avg acc: 0.051506
Test 0, loss: 2.954927, test acc: 0.035500, test avg acc: 0.047407
Train 1, loss: 2.954674, train acc: 0.087340, train avg acc: 0.055108
Test 1, loss: 2.969360, test acc: 0.039500, test avg acc: 0.050614
Train 2, loss: 2.940190, train acc: 0.089443, train avg acc: 0.056130
Test 2, loss: 2.950539, test acc: 0.060500, test avg acc: 0.053139
Train 3, loss: 2.934951, train acc: 0.091546, train avg acc: 0.058172
Test 3, loss: 2.973310, test acc: 0.044000, test avg acc: 0.048163
Train 4, loss: 2.929788, train acc: 0.094050, train avg acc: 0.058759
Test 4, loss: 2.988023, test acc: 0.050500, test avg acc: 0.054539
Train 5, loss: 2.929354, train acc: 0.091647, train avg acc: 0.057938
Test 5, loss: 2.920444, test acc: 0.116500, test avg acc: 0.058058
Train 6, loss: 2.928421, train acc: 0.090745, train avg acc: 0.057212
Test 6, loss: 2.955364, test acc: 0.061500, test avg acc: 0.055548
Train 7, loss: 2.926621, train acc: 0.092748, train avg acc: 0.058486
Test 7, loss: 2.980509, test acc: 0.054500, test avg acc: 0.052311
Train 8, loss: 2.925291, train acc: 0.099760, train avg acc: 0.062742
Test 8, loss: 3.077378, test acc: 0.045500, test avg acc: 0.055884
Train 9, loss: 2.923247, train acc: 0.093349, train avg acc: 0.058797
Test 9, loss: 3.025113, test acc: 0.053000, test avg acc: 0.054161
Train 10, loss: 2.923795, train acc: 0.096354, train avg acc: 0.060772
Test 10, loss: 2.978436, test acc: 0.048500, test avg acc: 0.053889
Train 11, loss: 2.920276, train acc: 0.098658, train avg acc: 0.062427
Test 11, loss: 2.952781, test acc: 0.092000, test avg acc: 0.061556
Train 12, loss: 2.920772, train acc: 0.094050, train avg acc: 0.059917
Test 12, loss: 3.054231, test acc: 0.042000, test avg acc: 0.047161
Train 13, loss: 2.919226, train acc: 0.098157, train avg acc: 0.062245
Test 13, loss: 3.011061, test acc: 0.043500, test avg acc: 0.058368
Train 14, loss: 2.920088, train acc: 0.096254, train avg acc: 0.060524
Test 14, loss: 3.040140, test acc: 0.045000, test avg acc: 0.054492
