Namespace(batch_size=64, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='protein_3', k=5, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=606, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 3 devices
Train 0, loss: 3.166862, train acc: 0.076923, train avg acc: 0.053954
Test 0, loss: 2.953286, test acc: 0.086500, test avg acc: 0.056471
Train 1, loss: 2.964344, train acc: 0.087039, train avg acc: 0.053906
Test 1, loss: 2.936362, test acc: 0.102000, test avg acc: 0.062589
Train 2, loss: 2.944614, train acc: 0.092648, train avg acc: 0.055650
Test 2, loss: 2.925052, test acc: 0.096500, test avg acc: 0.067612
Train 3, loss: 2.936784, train acc: 0.095553, train avg acc: 0.058181
Test 3, loss: 2.926293, test acc: 0.101000, test avg acc: 0.059349
Train 4, loss: 2.933565, train acc: 0.094351, train avg acc: 0.056845
Test 4, loss: 2.919127, test acc: 0.097000, test avg acc: 0.058725
Train 5, loss: 2.926794, train acc: 0.097055, train avg acc: 0.060015
Test 5, loss: 2.921787, test acc: 0.097000, test avg acc: 0.061233
Train 6, loss: 2.922676, train acc: 0.098458, train avg acc: 0.059108
Test 6, loss: 2.923964, test acc: 0.100500, test avg acc: 0.061411
Train 7, loss: 2.921723, train acc: 0.100160, train avg acc: 0.059686
Test 7, loss: 2.919397, test acc: 0.093000, test avg acc: 0.061288
Train 8, loss: 2.917121, train acc: 0.101162, train avg acc: 0.060761
Test 8, loss: 2.921773, test acc: 0.095500, test avg acc: 0.060888
Train 9, loss: 2.916956, train acc: 0.098157, train avg acc: 0.059549
Test 9, loss: 2.912061, test acc: 0.110000, test avg acc: 0.069640
Train 10, loss: 2.911176, train acc: 0.103265, train avg acc: 0.063279
Test 10, loss: 2.908392, test acc: 0.112500, test avg acc: 0.068376
Train 11, loss: 2.909060, train acc: 0.104868, train avg acc: 0.063363
Test 11, loss: 2.926367, test acc: 0.096500, test avg acc: 0.062168
Train 12, loss: 2.907523, train acc: 0.102664, train avg acc: 0.062484
Test 12, loss: 2.912607, test acc: 0.104500, test avg acc: 0.063514
Train 13, loss: 2.904945, train acc: 0.107272, train avg acc: 0.065293
Test 13, loss: 2.906823, test acc: 0.110000, test avg acc: 0.068552
Train 14, loss: 2.904096, train acc: 0.104167, train avg acc: 0.064156
Test 14, loss: 2.914234, test acc: 0.104000, test avg acc: 0.061721
Train 15, loss: 2.902077, train acc: 0.107873, train avg acc: 0.065110
Test 15, loss: 2.925556, test acc: 0.093500, test avg acc: 0.061280
Train 16, loss: 2.899906, train acc: 0.107973, train avg acc: 0.065560
Test 16, loss: 2.911254, test acc: 0.090500, test avg acc: 0.060049
Train 17, loss: 2.898124, train acc: 0.108474, train avg acc: 0.067297
Test 17, loss: 2.920719, test acc: 0.100500, test avg acc: 0.059151
Train 18, loss: 2.896903, train acc: 0.113381, train avg acc: 0.069788
Test 18, loss: 2.937149, test acc: 0.102000, test avg acc: 0.061041
Train 19, loss: 2.895968, train acc: 0.114483, train avg acc: 0.069685
Test 19, loss: 2.910302, test acc: 0.096000, test avg acc: 0.061923
Train 20, loss: 2.893382, train acc: 0.111779, train avg acc: 0.068851
Test 20, loss: 2.945882, test acc: 0.102000, test avg acc: 0.058969
Train 21, loss: 2.893021, train acc: 0.114884, train avg acc: 0.070406
Test 21, loss: 3.009330, test acc: 0.066500, test avg acc: 0.054437
Train 22, loss: 2.890775, train acc: 0.111579, train avg acc: 0.068884
Test 22, loss: 2.977606, test acc: 0.075000, test avg acc: 0.051217
Train 23, loss: 2.890515, train acc: 0.113381, train avg acc: 0.068957
Test 23, loss: 2.928331, test acc: 0.104500, test avg acc: 0.062907
Train 24, loss: 2.888922, train acc: 0.110477, train avg acc: 0.068162
Test 24, loss: 2.943415, test acc: 0.111000, test avg acc: 0.066300
Train 25, loss: 2.882251, train acc: 0.121394, train avg acc: 0.075410
Test 25, loss: 2.950957, test acc: 0.085500, test avg acc: 0.057269
Train 26, loss: 2.881324, train acc: 0.118790, train avg acc: 0.073184
Test 26, loss: 2.936448, test acc: 0.085500, test avg acc: 0.062039
Train 27, loss: 2.881150, train acc: 0.116887, train avg acc: 0.072553
Test 27, loss: 3.077849, test acc: 0.094000, test avg acc: 0.053035
Train 28, loss: 2.876505, train acc: 0.116787, train avg acc: 0.072693
Test 28, loss: 2.980427, test acc: 0.072000, test avg acc: 0.056531
Train 29, loss: 2.874643, train acc: 0.118590, train avg acc: 0.073830
Test 29, loss: 2.985876, test acc: 0.095000, test avg acc: 0.055046
Train 30, loss: 2.872452, train acc: 0.117889, train avg acc: 0.073267
Test 30, loss: 2.926004, test acc: 0.094500, test avg acc: 0.067714
Train 31, loss: 2.868706, train acc: 0.125701, train avg acc: 0.078370
